#{"t_start": 1685775315.2208188, "env_id": null}
r,l,t
-31785,128,158.409199
-485,88,158.543839
-485,88,158.65953
10815,48,158.722362
-643672,329,159.095366
10501,77,159.203081
10649,47,159.262918
-485,88,159.373702
-43562,186,159.599695
-651,87,159.712393
15834,126,159.860031
-139154,120,160.00771
-579547,374,160.421173
-125622,112,160.563785
-114240,112,160.705408
10649,47,160.767214
-263330,318,161.135289
-651,87,161.249983
10815,48,161.312822
10815,48,161.375652
-188370,139,161.546227
-656,87,161.658926
10815,48,161.722763
-231320,253,162.012979
-651,87,162.123684
10815,48,162.185521
10815,48,162.245358
-3073056,688,163.016959
-13147,166,163.215429
-31785,128,163.372011
10815,48,163.438838
23040,190,163.654257
10664,47,163.726065
-83085,168,163.921322
-33555,252,164.215566
-114792,224,164.487396
10649,47,164.546238
-76844,141,164.715784
-636,87,164.833469
-387914,233,165.107738
-160217,112,165.259893
-31951,127,165.404538
-485,88,165.522226
-485,88,165.630948
10815,48,165.694797
-1696085,568,166.327704
-485,88,166.446389
25323,85,166.551113
-45457,246,166.830925
-4247,124,166.982553
10649,47,167.047381
-485,88,167.159112
-30540,165,167.359712
-165155,179,167.575701
-265611,152,167.756218
-58472,125,167.901829
-646,87,168.016523
-52982,201,168.252891
-1286254,464,168.78189
-651,87,168.89985
10815,48,168.973138
-485,88,169.084842
10815,48,169.14767
-215188,220,169.3966
10664,47,169.460002
-99002,139,169.630115
-949821,484,170.171666
-83085,168,170.377114
-235810,285,170.741207
-76485,74,170.832075
10644,47,170.897432
-136481,198,171.124949
-240233,226,171.397219
10644,47,171.460024
-135003,196,171.683454
25553,84,171.790169
10649,47,171.856991
10815,48,171.921819
-141368,199,172.15598
-118275,241,172.441499
25405,83,172.542227
24212,84,172.650971
-976712,493,173.212865
-656,87,173.318584
10815,48,173.382416
10815,48,173.447242
-279943,282,173.773368
-651,87,173.881081
10815,48,173.942915
10815,48,174.005778
10815,48,174.068615
10815,48,174.131473
26383,73,174.22622
-221541,188,174.440241
47396,187,174.659783
24248,84,174.765501
-849338,279,175.088637
-651,87,175.195352
-180995,208,175.432698
10836,48,175.491562
-74813,73,175.582318
16053,124,175.728957
-651,87,175.842683
-31785,128,176.001836
-14087,150,176.18688
-485,88,176.302567
-127835,114,176.43621
-118942,113,176.576835
10649,47,176.639667
-72993,116,176.778297
24287,85,176.882019
-81866,219,177.13691
-651,87,177.248901
42924,121,177.396506
-4472,124,177.553119
-24858,157,177.74118
16516,125,177.89477
1666,78,177.988516
-3769475,737,178.813377
10815,48,178.882166
10815,48,178.948019
-29363181,2231,181.414312
-72363,114,181.567905
-651,87,181.684134
-738248,306,182.04559
25559,86,182.155777
15626,124,182.313918
-149277,242,182.628078
